country,year,gdp,meat_consumption,temperature,ghg_emission
Peru,1989,1040.96,15.01,20.02,57774.678
Peru,1990,1196.59,16.21,20.23,59544.1966
Peru,1991,1539.45,16.88,20.5,57289.42
Peru,1992,1573.54,17.24,20.84,59369.573
Peru,1993,1501.96,16.49,20.5,62945.458
Peru,1994,1881.74,17.42,20.53,57507.247
Peru,1995,2194.02,18.74,20.69,63406.514
Peru,1996,2232.08,18.83,20.12,66878.351
Peru,1997,2306.44,19.53,20.94,67172.281
Peru,1998,2163.12,15.85,21.18,70299.961
Peru,1999,1924.49,16.52,20.07,64302.171
Peru,2000,1955.59,16.47,20.23,66574.044
Peru,2001,1941.48,16.39,20.23,49674.782
Peru,2002,2021.24,16.92,20.54,51029.146
Peru,2003,2145.64,17.27,20.49,53092.701
Peru,2004,2417.04,17.39,20.44,56438.522
Peru,2005,2729.5,18.61,20.45,68557.456
Peru,2006,3154.33,19.62,20.54,58736.853
Peru,2007,3606.07,20.55,20.19,70911.513
Peru,2008,4220.62,20.59,20.23,63708.119
Peru,2009,4196.31,20.62,20.52,64753.407770000005
Peru,2010,5082.35,21.2,20.58,71614.29402
Peru,2011,5869.32,21.24,20.28,73289.7029
Peru,2012,6528.97,21.9,20.46,74806.95674
Philippines,1970,186.77,15.7,27.0,78220.635
Philippines,1971,201.04,15.66,26.4,78563.179
Philippines,1972,211.41,14.42,26.77,79527.624
Philippines,1973,258.38,16.05,26.99,88767.222
Philippines,1974,343.29,18.34,26.63,84178.481
Philippines,1975,360.75,14.87,26.73,85572.977
Philippines,1976,402.8,14.05,26.57,84878.704
Philippines,1977,450.34,13.06,26.82,89721.795
Philippines,1978,506.4,13.79,26.66,92112.253
Philippines,1979,596.84,16.09,26.83,94616.367
Philippines,1980,685.22,16.82,26.77,90455.034
Philippines,1981,732.37,17.38,26.83,87094.481
Philippines,1982,742.45,16.25,26.75,87027.695
Philippines,1983,646.04,16.65,27.1,91682.474
Philippines,1984,594.55,16.43,26.67,83765.237
Philippines,1985,566.26,13.02,26.9,82498.31
Philippines,1986,535.7,14.16,26.79,82667.584
Philippines,1987,579.7,14.95,27.3,83709.076
Philippines,1988,644.36,15.83,27.19,92300.675
Philippines,1989,705.58,17.32,26.73,94618.11
Philippines,1990,715.91,18.29,26.93,96355.436
Philippines,1991,715.75,20.67,26.79,96239.316
Philippines,1992,814.77,20.64,26.9,102098.065
Philippines,1993,816.41,21.78,26.85,106302.855
Philippines,1994,939.92,22.54,26.83,117252.259
Philippines,1995,1062.13,23.6,26.83,125623.452
Philippines,1996,1160.31,25.34,26.89,134296.648
Philippines,1997,1127.53,26.71,26.98,140736.42
Philippines,1998,966.99,26.62,27.78,163224.106
Philippines,1999,1087.38,28.23,26.93,140842.114
Philippines,2000,1038.91,28.77,27.01,150078.87
Philippines,2001,957.19,29.33,27.1,142869.331
Philippines,2002,999.91,30.32,27.08,138051.043
Philippines,2003,1010.31,30.67,27.01,140443.044
Philippines,2004,1078.63,30.26,27.09,142978.772
Philippines,2005,1193.98,29.68,27.14,146433.72
Philippines,2006,1390.52,31.18,27.18,201211.257
Philippines,2007,1670.59,33.06,27.16,149106.274
Philippines,2008,1916.3,33.62,26.88,152332.054
Philippines,2009,1821.52,33.45,27.01,223801.40258000002
Philippines,2010,2124.06,34.46,27.36,159940.45283
Philippines,2011,2345.33,34.48,26.79,163797.78767
Philippines,2012,2572.63,34.77,27.15,167297.54973
Poland,1990,1731.21,73.0,9.23,474016.0603
Poland,1991,2235.54,77.97,7.94,460117.254
Poland,1992,2459.02,76.07,8.81,452553.142
Poland,1993,2497.2,73.4,7.83,449456.043
Poland,1994,2874.83,68.51,8.92,448871.632
Poland,1995,3682.79,69.25,8.26,458557.084
Poland,1996,4140.99,70.6,6.77,435648.565
Poland,1997,4116.92,65.83,7.98,433538.612
Poland,1998,4510.42,69.56,8.32,388905.682
Poland,1999,4389.98,72.33,9.03,380841.8682
Poland,2000,4492.74,70.71,9.62,392642.0366
Poland,2001,4981.19,70.74,8.33,385653.8873
Poland,2002,5196.94,73.92,9.17,375643.178
Poland,2003,5693.38,75.11,8.39,387619.1421
Poland,2004,6681.18,73.15,8.39,411840.4427
Poland,2005,8021.0,72.86,8.42,411811.67406
Poland,2006,9038.73,75.96,8.8,423290.66621999996
Poland,2007,11255.44,75.44,9.42,421174.6542
Poland,2008,14001.45,73.59,9.47,420981.528
Poland,2009,11527.59,74.54,8.65,405421.15976
Poland,2010,12599.53,74.72,7.62,426485.86835
Poland,2011,13893.51,76.3,8.95,422791.46817
Poland,2012,13145.54,75.35,8.54,414606.89233
Portugal,1970,934.17,31.47,14.76,26924.831
Portugal,1971,1064.64,33.94,14.28,28815.6652
Portugal,1972,1302.39,36.29,13.88,29552.2065
Portugal,1973,1748.16,36.34,14.61,32090.4437
Portugal,1974,2000.61,40.93,14.38,31551.939
Portugal,1975,2127.85,41.33,14.48,33239.2002
Portugal,1976,2173.5,42.39,14.59,34557.8804
Portugal,1977,2267.59,46.95,14.59,35246.6047
Portugal,1978,2457.55,43.33,14.83,37256.3209
Portugal,1979,2755.9,43.44,14.75,40296.2952
Portugal,1980,3368.7,44.84,14.84,41434.738
Portugal,1981,3246.29,46.79,15.5,43003.046
Portugal,1982,3080.25,46.66,15.07,43633.787
Portugal,1983,2735.76,45.55,15.07,44334.473
Portugal,1984,2523.0,41.91,14.6,42653.197
Portugal,1985,2705.46,43.66,15.15,41504.109
Portugal,1986,3862.33,45.6,14.73,45719.913
Portugal,1987,4804.34,49.68,15.61,46131.848
Portugal,1988,5624.25,51.66,15.1,47741.33
Portugal,1989,6056.98,56.49,16.06,56692.546
Portugal,1990,7885.39,62.94,15.74,58227.179
Portugal,1991,8959.87,63.45,15.23,60330.057
Portugal,1992,10811.63,69.62,15.11,64299.6533
Portugal,1993,9535.59,73.68,14.52,63334.9452
Portugal,1994,9978.3,77.18,15.31,64486.0265
Portugal,1995,11782.52,74.35,16.35,69204.4065
